username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CBCAlerts;2017-09-10 09:59;69;61;"Hurricane Irma bears down on Florida Keys, regaining its category 4 status; whips up 215 km/h sustained wind speeds http://www.cbc.ca/1.4283014";;;;"906819471385534464";https://twitter.com/CBCAlerts/status/906819471385534464
breakingweather;2017-09-10 09:58;55;41;"#Irma will bring life-threatening impacts to all of the Florida Keys & a large portion of the Florida Peninsula: http://ow.ly/xLC730f2Geq pic.twitter.com/4R1iCDzlQl";;;#Irma;"906819246335897600";https://twitter.com/breakingweather/status/906819246335897600
cnnbrk;2017-09-10 09:46;214;253;"Eyewall of Irma is likely to hit the lower Florida Keys between 7 and 8 a.m. ET, the National Weather Service says http://cnn.it/2eNHxVr";;;;"906816098477232128";https://twitter.com/cnnbrk/status/906816098477232128
nytimes;2017-09-10 09:45;97;150;"Hurricane Irma closed in on the Florida Keys early Sunday morning, on track for an early-morning landfall http://nyti.ms/2gUu4eY";;;;"906815781094281217";https://twitter.com/nytimes/status/906815781094281217
TheLift;2017-09-10 09:25;71;76;"#HurricaneIrma ...EYE OF IRMA ABOUT TO MOVE ACROSS THE LOWER FLORIDA KEYS... Your @weatherchannel app & http://weather.com have detailspic.twitter.com/gQZYERaoSY";;@weatherchannel;#HurricaneIrma;"906810755743453184";https://twitter.com/TheLift/status/906810755743453184
NBCNews;2017-09-10 09:12;146;128;"National Weather Service to those left in the Florida Keys: "The Worst Is Yet To Come" Irma's eye now 40 miles from Key West pic.twitter.com/F5RjJpIUdO";;;;"906807650674991104";https://twitter.com/NBCNews/status/906807650674991104
CNN;2017-09-10 09:11;117;107;"The National Weather Service Key West estimates #Irma is likely to strike the Lower Florida Keys around sunrise http://cnn.it/2vXlaYs pic.twitter.com/I1Xu78pHps";;;#Irma;"906807221266386944";https://twitter.com/CNN/status/906807221266386944
OfficialJoelF;2017-09-10 09:07;38;80;"Hurricane Irma is making landfall over the Florida Keys soon. If you stayed, SEEK SHELTER.";;;;"906806435295752192";https://twitter.com/OfficialJoelF/status/906806435295752192
NBCNews;2017-09-10 09:04;74;61;"NEW: Eye of Irma now 40 miles from Key West, Florida - Remains Category 4 storm. pic.twitter.com/VatDHoq7WV";;;;"906805512657887233";https://twitter.com/NBCNews/status/906805512657887233
JohnMoralesNBC6;2017-09-10 09:03;106;158;"Dangerous Irma moves over the Keys as a category 4 hurricane, moves north along west coast of Florida. pic.twitter.com/dFxonUaV1G";;;;"906805369527205888";https://twitter.com/JohnMoralesNBC6/status/906805369527205888
NHC_Atlantic;2017-09-10 09:00;365;270;"Hurricane #Irma Advisory 45: Eye of Irma About to Move Across the Lower Florida Keys. http://go.usa.gov/W3H";;;#Irma;"906804454384705536";https://twitter.com/NHC_Atlantic/status/906804454384705536
NBCNews;2017-09-10 08:45;184;165;"NEW: The eyewall of Hurricane Irma will hit the lower Florida Keys between 7-8 am ET, says National Weather Service";;;;"906800897111543808";https://twitter.com/NBCNews/status/906800897111543808
latimes;2017-09-10 08:44;121;144;"National Weather Service issues urgent warning as Hurricane Irma nears Florida Keys http://lat.ms/2wRXZha pic.twitter.com/BXSXVdkUn6";;;;"906800476066340864";https://twitter.com/latimes/status/906800476066340864
ReedTimmerAccu;2017-09-10 08:43;134;201;"Eye wall of Category 4 Hurricane #Irma is approaching the western Florida Keys prob a few hours out from Key West @breakingweatherpic.twitter.com/SHMIiTTuOK";;@breakingweatherpic;#Irma;"906800280452390912";https://twitter.com/ReedTimmerAccu/status/906800280452390912
SenRickScott;2017-09-10 08:41;921;1128;"Life threatening storm surge is occurring now in the Keys and is expected to begin this morning in Southwest Florida.";;;;"906799737462034433";https://twitter.com/SenRickScott/status/906799737462034433
ABC;2017-09-10 08:38;174;115;"JUST IN: Hurricane Irma's eyewall is expected to reach Florida Keys between 7 a.m. and 8 a.m, says NWS http://abcn.ws/2gU1fzt pic.twitter.com/OOT1gov7sL";;;;"906798964107825152";https://twitter.com/ABC/status/906798964107825152
NWSKeyWest;2017-09-10 08:28;2489;2227;"***EVERYONE IN THE FLORIDA KEYS*** ***IT IS TIME TO HUNKER DOWN*** ***THE WORST WINDS ARE YET TO COME*** #Irma #FLkeys #flwxpic.twitter.com/lmHTcRv68l";;;#Irma #FLkeys #flwxpic;"906796609924685824";https://twitter.com/NWSKeyWest/status/906796609924685824
storm_chaser82;2017-09-10 08:19;144;180;"Incredibly eerie scene in Key West, Florida #HurricaneIrmapic.twitter.com/fSIv1486TA";;;#HurricaneIrmapic;"906794270589419520";https://twitter.com/storm_chaser82/status/906794270589419520
Ginger_Zee;2017-09-10 08:13;49;113;"And in just a few hours the Florida Keys will be feeling the brunt of #Irma. Already gusts to 84 mph. We start special report at 6 am EThttps://twitter.com/danmanwx/status/906790787689697282 …";;;#Irma;"906792843280371714";https://twitter.com/Ginger_Zee/status/906792843280371714
JohnMoralesNBC6;2017-09-10 08:13;128;175;"Eyewall of now Category 4 Hurricane Irma is 25 miles or about 4 hours from *slamming& the Lower Florida Keys. pic.twitter.com/mLSk0EiqKi";;;;"906792836414279680";https://twitter.com/JohnMoralesNBC6/status/906792836414279680
SenRickScott;2017-09-10 08:10;346;527;"The eye of Hurricane Irma is approaching the lower Florida Keys- expected to make landfall in the next few hours.";;;;"906792014162939904";https://twitter.com/SenRickScott/status/906792014162939904
FoxNews;2017-09-10 07:31;108;187;". @adamhousley shares an update on the conditions in Key Largo, Florida. #HurricaneIrma http://fxn.ws/2wi7GBI pic.twitter.com/A2wr7Hp6ZD";;@adamhousley;#HurricaneIrma;"906782131262595072";https://twitter.com/FoxNews/status/906782131262595072
CBSNews;2017-09-10 07:12;126;69;"Hurricane Irma moved northwest and is now moving right towards Key West, Florida, WFOR reports http://cbsn.ws/2eOfBAI pic.twitter.com/sUpq0wUkt4";;;;"906777442567716864";https://twitter.com/CBSNews/status/906777442567716864
weatherchannel;2017-09-10 07:10;78;292;"3 AM: Pressure continues to drop as hurricane-force winds barrel toward the Florida Keys. pic.twitter.com/mRT5f58pUe";;;;"906776815766835201";https://twitter.com/weatherchannel/status/906776815766835201
nytimes;2017-09-10 07:05;130;204;"Irma gains strength early Sunday as it nears the Florida Keys, with officials upgrading it to a Category 4 storm http://nyti.ms/2wSOtZo";;;;"906775504572882944";https://twitter.com/nytimes/status/906775504572882944
weathernetwork;2017-09-10 06:32;90;85;"2 AM update: Hurricane Irma is a Category 4 hurricane with maximum sustained winds of 210 km/h (130 mph) as it approaches the Florida Keys. pic.twitter.com/GluXBUELL7";;;;"906767273410662400";https://twitter.com/weathernetwork/status/906767273410662400
latimes;2017-09-10 06:25;141;103;"Hurricane Irma strengthens back into a Category 4 storm as it approaches lower Florida Keys http://lat.ms/2eNVfaH pic.twitter.com/wfcKhrtWxC";;;;"906765641448923136";https://twitter.com/latimes/status/906765641448923136
NHC_Atlantic;2017-09-10 06:00;1005;630;"Hurricane #Irma Advisory 44A: Irma Now a Category 4 Hurricane as it Gets Closer to the Lower Florida Keys. http://go.usa.gov/W3H";;;#Irma;"906759149047906304";https://twitter.com/NHC_Atlantic/status/906759149047906304
CBSNews;2017-09-10 05:40;337;407;"Hurricane Irma is within 90 miles of Key West, Florida, but its effects are already being felt in parts of South FL http://cbsn.ws/2eOoABZ pic.twitter.com/Ra1sn0NoQH";;;;"906754206832394241";https://twitter.com/CBSNews/status/906754206832394241
AdrianLinares28;2017-09-10 05:29;40;44;"57 years ago today, Hurricane #Donna struck the Florida Keys just NE of Marathon. 140 mph sustained winds/minimum central pressure of 932mb.";;;#Donna;"906751381679349760";https://twitter.com/AdrianLinares28/status/906751381679349760
fguzmanon7;2017-09-10 05:20;134;222;"OUTAGE UPDATE (1:15am) - Miami-Dade: 142,280 - Broward: 61,780 - Palm Beach: 28,960 - Keys: 31,860 South Florida total: 238,780. #Irma";;;#Irma;"906749183302012928";https://twitter.com/fguzmanon7/status/906749183302012928
business;2017-09-10 05:05;53;35;"JUST IN: Irma rips towards the U.S. as Florida Keys brace for the hurricane's fury https://bloom.bg/2xdfOrp pic.twitter.com/zeKIJgAYPh";;;;"906745471842045953";https://twitter.com/business/status/906745471842045953
WPTV;2017-09-10 05:05;95;157;"1 a.m. update: Category 3 #HurricaneIrma's track shifts slightly west, hurricane force winds slamming Florida Keys: http://bit.ly/2eWfiHL pic.twitter.com/8A7gkqOESV";;;#HurricaneIrma;"906745362714636293";https://twitter.com/WPTV/status/906745362714636293
thehill;2017-09-10 05:01;125;120;"FEMA head warns people staying in Florida Keys during Irma: "You're on your own" http://hill.cm/7hoV1CI pic.twitter.com/HIoeQut6rF";;;;"906744319184457729";https://twitter.com/thehill/status/906744319184457729
CNBC;2017-09-10 04:32;69;49;"LATEST: Hurricane Irma advances toward Florida Keys and Tampa with 'life-threatening' storm surge http://cnb.cx/2gTfeZH";;;;"906737077596942336";https://twitter.com/CNBC/status/906737077596942336
KPRC2;2017-09-10 04:30;82;104;"Irma slowly turns to Florida; Key West feels hurricane-force winds http://bit.ly/2wPAeHc?utm_medium=social&utm_source=twitter_KPRC2 …pic.twitter.com/npARyCgAVs";;;;"906736566470680576";https://twitter.com/KPRC2/status/906736566470680576
W7VOA;2017-09-10 04:25;19;20;"Looks like the Key West webcam now offline. Here's a few others in #Florida to monitor #HurricaneIrma: https://www.youtube.com/watch?v=5gFntKt8ABI …https://twitter.com/W7VOA/status/906704817661337600 …";;;#Florida #HurricaneIrma;"906735425762586624";https://twitter.com/W7VOA/status/906735425762586624
weatherchannel;2017-09-10 04:10;723;1146;"12 AM: #Irma is moving northwest toward the Florida Keys. Key West has recently gusted 68 mph. pic.twitter.com/JsN1VqMhAK";;;#Irma;"906731553514037248";https://twitter.com/weatherchannel/status/906731553514037248
latimes;2017-09-10 03:46;29;40;"First hurricane-force winds hit Florida Keys as a weakened Hurricane Irma blows toward Florida mainland http://lat.ms/2wR1nar pic.twitter.com/F1w0bi9MXg";;;;"906725591797391360";https://twitter.com/latimes/status/906725591797391360
NBCNews;2017-09-10 03:28;306;312;"JUST IN: More than 190,000 without power as Irma bears down on Florida Keys http://nbcnews.to/2fb3n5A pic.twitter.com/oB3ZwmdLQY";;;;"906721041195683841";https://twitter.com/NBCNews/status/906721041195683841
ahsoka2019;2017-09-10 03:21;9;23;"Now we wait. #Irma heading to the Keys, then on up the west coast. 2 days from now, we're clear. Hold on tight, #Florida. We can do this. pic.twitter.com/b3E230TFRK";;;#Irma #Florida;"906719260415799296";https://twitter.com/ahsoka2019/status/906719260415799296
foxnewsalert;2017-09-10 03:09;22;36;"First hurricane-force gusts hit Keys as Irma nears Florida landfall http://fxn.ws/2E9Swb";;;;"906716112112496640";https://twitter.com/foxnewsalert/status/906716112112496640
JohnMoralesNBC6;2017-09-10 03:04;79;64;"#Irma is slowly moving away Cuba as a major hurricane... Florida Keys on guard for strike Sunday morning. @nbc6pic.twitter.com/OcPbpiRjwp";;@nbc6pic;#Irma;"906715063125508096";https://twitter.com/JohnMoralesNBC6/status/906715063125508096
KTLA;2017-09-10 03:01;18;23;"Update: Winds of 74 mph -- hurricane force -- have reached Key West, Florida, the National Weather Service says http://on.ktla.com/fTWro";;;;"906714229654163458";https://twitter.com/KTLA/status/906714229654163458
Aaron_Brackett;2017-09-10 02:59;12;24;"One of @NWSNorman's meteorologists is helping out at the Florida Keys NWS office. He just posted this in our media chat...its about to hit! pic.twitter.com/sNp0aQPoqD";;@NWSNorman;;"906713785305628672";https://twitter.com/Aaron_Brackett/status/906713785305628672
DanLinden;2017-09-10 02:48;77;134;"Outer band of Hurricane #Irma now pushing across Florida Keys. @NWSKeyWest urges people to "Stay inside, away from windows!” #Irmapic.twitter.com/6odiMTpqgj";;@NWSKeyWest;#Irma #Irmapic;"906711041287053312";https://twitter.com/DanLinden/status/906711041287053312
ABC;2017-09-10 02:47;249;262;"Hurricane #Irma begins to batter Florida Keys with hurricane-force winds, @NWSKeyWest says. http://abcn.ws/2xnsUmK pic.twitter.com/cfQwjh1hU0";;@NWSKeyWest;#Irma;"906710728383614978";https://twitter.com/ABC/status/906710728383614978
FOXLA;2017-09-10 02:28;20;28;"#BREAKING: National Weather Service says 1st hurricane-force wind gust has been recorded in the Florida Keys as Irma inches closer (via @AP)";;@AP;#BREAKING;"906705908104781824";https://twitter.com/FOXLA/status/906705908104781824
ReedTimmerAccu;2017-09-10 02:26;123;185;"Big-time band with Hurricane #Irma is hammering the Florida Keys from Key West to Islamorada about to see most significant gusts yet pic.twitter.com/XhhHHRc9Le";;;#Irma;"906705378221727745";https://twitter.com/ReedTimmerAccu/status/906705378221727745
